epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,413.094,1.40494,3.03362,1.62873,1.42344,0.58835,0.4626,0.5016,0.31429,0.59358,0.44281,0.46953,0.25751,1.48082,2.57325,1.65963,1.43529,0.0097327,0.0097327,0.0097327
56,419.609,1.38483,3.02305,1.60594,1.40776,0.48714,0.45798,0.44081,0.26737,0.52403,0.41186,0.40318,0.22374,1.51998,2.73248,1.79308,1.4762,0.00972775,0.00972775,0.00972775
57,427.019,1.38598,2.99376,1.60597,1.41264,0.58359,0.48764,0.52021,0.32248,0.56818,0.46552,0.47949,0.26931,1.45252,2.50978,1.58826,1.44457,0.0097228,0.0097228,0.0097228
58,434.256,1.39795,3.00003,1.59338,1.4138,0.57471,0.46161,0.50861,0.3212,0.55951,0.42792,0.46138,0.25776,1.44586,2.51726,1.6203,1.43172,0.00971785,0.00971785,0.00971785
59,441.444,1.34838,2.9362,1.551,1.38688,0.59447,0.44299,0.49964,0.31584,0.58899,0.42427,0.45504,0.24703,1.42351,2.59596,1.63184,1.39475,0.0097129,0.0097129,0.0097129
60,448.791,1.35647,2.87434,1.52675,1.38445,0.55386,0.52,0.51717,0.32696,0.54652,0.49477,0.48442,0.26144,1.37849,2.52633,1.59684,1.36311,0.00970795,0.00970795,0.00970795
61,456.162,1.40621,3.06191,1.60031,1.42515,0.57875,0.49658,0.53041,0.3443,0.55472,0.47664,0.50403,0.26828,1.34808,2.50557,1.5347,1.33055,0.009703,0.009703,0.009703
62,463.464,1.34387,2.92927,1.53676,1.3888,0.55587,0.48537,0.50228,0.32052,0.60557,0.4456,0.47698,0.26226,1.41006,2.57584,1.62217,1.36918,0.00969805,0.00969805,0.00969805
63,470.717,1.32235,2.85567,1.52051,1.3769,0.62705,0.45219,0.50167,0.31056,0.61545,0.43801,0.46859,0.25257,1.48642,2.72986,1.68594,1.41823,0.0096931,0.0096931,0.0096931
64,478.15,1.35853,2.92267,1.53593,1.38506,0.56398,0.45903,0.50775,0.30888,0.55045,0.43915,0.48063,0.26962,1.4657,2.59119,1.63969,1.40081,0.00968815,0.00968815,0.00968815
65,485.453,1.34746,2.85861,1.49251,1.36066,0.62594,0.46558,0.53169,0.32878,0.63345,0.41545,0.4804,0.27415,1.44571,2.58127,1.60751,1.38052,0.0096832,0.0096832,0.0096832
66,492.726,1.36941,2.95676,1.54297,1.39482,0.64834,0.51969,0.57625,0.36221,0.6341,0.49135,0.53782,0.30506,1.35556,2.45504,1.53456,1.33904,0.00967825,0.00967825,0.00967825
67,499.906,1.33304,2.91494,1.52556,1.38831,0.57843,0.50495,0.53,0.34084,0.58521,0.47904,0.49818,0.28306,1.37246,2.58341,1.57132,1.35608,0.0096733,0.0096733,0.0096733
68,507.172,1.35459,2.94959,1.51333,1.38749,0.53382,0.58375,0.56654,0.36648,0.55313,0.54596,0.54021,0.30171,1.29857,2.3412,1.45396,1.31332,0.00966835,0.00966835,0.00966835
69,514.416,1.37009,3.00445,1.54775,1.38307,0.56022,0.46437,0.4979,0.30603,0.5446,0.45285,0.46951,0.25909,1.4198,2.50573,1.62916,1.38885,0.0096634,0.0096634,0.0096634
70,521.721,1.34101,2.88975,1.48496,1.35659,0.68162,0.51776,0.61691,0.39221,0.66101,0.50519,0.58208,0.3288,1.34776,2.32159,1.39632,1.34287,0.00965845,0.00965845,0.00965845
71,528.95,1.3192,2.87526,1.47105,1.36201,0.54799,0.51687,0.55919,0.34613,0.5327,0.50728,0.52584,0.27951,1.38987,2.48262,1.49648,1.3625,0.0096535,0.0096535,0.0096535
72,536.17,1.34098,2.94718,1.5145,1.38817,0.68347,0.58885,0.64354,0.41693,0.68865,0.55657,0.60049,0.31619,1.32981,2.36964,1.37183,1.31482,0.00964855,0.00964855,0.00964855
73,543.449,1.32974,2.90905,1.48762,1.37241,0.62189,0.56509,0.60922,0.38168,0.58,0.52748,0.54471,0.28784,1.3561,2.45828,1.51478,1.33369,0.0096436,0.0096436,0.0096436
74,550.641,1.3513,2.93206,1.51306,1.3781,0.71846,0.54418,0.6229,0.38547,0.62723,0.54984,0.57197,0.31205,1.36928,2.43217,1.45262,1.33298,0.00963865,0.00963865,0.00963865
75,557.973,1.31955,2.87021,1.45509,1.35807,0.67101,0.52465,0.58808,0.37469,0.64497,0.50366,0.53975,0.30208,1.36025,2.50153,1.46029,1.34379,0.0096337,0.0096337,0.0096337
76,565.158,1.3115,2.85544,1.45977,1.35917,0.68323,0.57148,0.60956,0.39796,0.68352,0.54448,0.57812,0.31399,1.32758,2.36376,1.37228,1.29964,0.00962875,0.00962875,0.00962875
77,572.341,1.3237,2.88582,1.47401,1.36908,0.63279,0.55593,0.61146,0.39928,0.6146,0.54262,0.57529,0.32261,1.26366,2.22335,1.36094,1.26303,0.0096238,0.0096238,0.0096238
78,579.551,1.3118,2.86409,1.45332,1.35436,0.69316,0.62024,0.6798,0.4623,0.74026,0.54935,0.63954,0.36749,1.2257,2.1788,1.25702,1.25882,0.00961885,0.00961885,0.00961885
79,586.833,1.34075,2.87456,1.45763,1.3629,0.67371,0.56247,0.64722,0.42561,0.75651,0.4955,0.60183,0.32835,1.30312,2.33035,1.38878,1.30491,0.0096139,0.0096139,0.0096139
80,594.119,1.32781,2.85658,1.42414,1.34816,0.69427,0.57171,0.6449,0.4158,0.70131,0.53234,0.60318,0.32446,1.30945,2.3167,1.35934,1.30385,0.00960895,0.00960895,0.00960895
