epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,316.684,1.4474,3.15221,1.78566,1.48701,0.54532,0.42371,0.45569,0.27855,0.53232,0.4078,0.42621,0.21078,1.42657,2.67819,1.7825,1.42359,0.009802,0.009802,0.009802
42,324.229,1.43391,3.11587,1.74407,1.48092,0.51226,0.41294,0.44957,0.27063,0.48569,0.39676,0.41626,0.21217,1.47226,2.73575,1.82139,1.44303,0.00979705,0.00979705,0.00979705
43,331.647,1.43643,3.14352,1.74432,1.47163,0.45244,0.34614,0.42457,0.26013,0.38084,0.37989,0.39452,0.19039,1.47337,2.70322,1.84589,1.43629,0.0097921,0.0097921,0.0097921
44,339.037,1.44018,3.18515,1.75373,1.4763,0.50431,0.47762,0.47692,0.28935,0.48873,0.45628,0.44643,0.219,1.49211,2.57728,1.795,1.46807,0.00978715,0.00978715,0.00978715
45,346.545,1.42161,3.1097,1.71889,1.46493,0.45428,0.45216,0.4364,0.26305,0.45452,0.45564,0.43479,0.22209,1.42801,2.53342,1.75871,1.41715,0.0097822,0.0097822,0.0097822
46,354.058,1.42051,3.06258,1.6796,1.4526,0.50954,0.46423,0.46773,0.27722,0.56027,0.42275,0.44368,0.22333,1.44992,2.53574,1.72813,1.42627,0.00977725,0.00977725,0.00977725
47,361.581,1.42738,3.12169,1.72438,1.47003,0.57737,0.41231,0.45444,0.26171,0.52535,0.43875,0.43754,0.22251,1.46609,2.61944,1.82937,1.44692,0.0097723,0.0097723,0.0097723
48,369.093,1.44102,3.1112,1.71363,1.47592,0.45258,0.517,0.47676,0.28434,0.45119,0.5138,0.46021,0.24496,1.40877,2.51174,1.68137,1.38298,0.00976735,0.00976735,0.00976735
49,376.565,1.40009,3.02828,1.67152,1.44215,0.48944,0.50165,0.49322,0.30969,0.47495,0.48722,0.47037,0.24313,1.36868,2.53975,1.76767,1.34861,0.0097624,0.0097624,0.0097624
50,384.066,1.42765,3.10008,1.69084,1.45768,0.64351,0.43761,0.51391,0.3142,0.57246,0.4628,0.48182,0.25858,1.40326,2.54552,1.63603,1.35841,0.00975745,0.00975745,0.00975745
51,391.591,1.41417,3.04948,1.6527,1.45377,0.5738,0.48385,0.53083,0.32394,0.56475,0.47239,0.51121,0.25433,1.38716,2.41708,1.59743,1.35908,0.0097525,0.0097525,0.0097525
52,399.207,1.41758,3.07755,1.67658,1.44016,0.54173,0.54052,0.53404,0.32085,0.52901,0.52575,0.50392,0.25663,1.39009,2.57811,1.61685,1.35999,0.00974755,0.00974755,0.00974755
53,406.703,1.37826,3.0062,1.62162,1.42722,0.61846,0.46245,0.50169,0.31054,0.59428,0.46401,0.48305,0.23954,1.42522,2.63441,1.71838,1.38727,0.0097426,0.0097426,0.0097426
54,414.129,1.38727,3.09448,1.64046,1.4424,0.59596,0.50479,0.53876,0.34635,0.58079,0.49323,0.52103,0.26788,1.34508,2.4336,1.51921,1.32943,0.00973765,0.00973765,0.00973765
55,421.541,1.38359,3.04067,1.63125,1.42987,0.56265,0.52504,0.52383,0.33749,0.55147,0.51416,0.50361,0.26543,1.35784,2.44582,1.54271,1.35874,0.0097327,0.0097327,0.0097327
56,428.968,1.37203,3.02582,1.61177,1.41143,0.62972,0.47863,0.53488,0.33031,0.60663,0.48091,0.51066,0.25427,1.37896,2.48517,1.6184,1.35849,0.00972775,0.00972775,0.00972775
57,436.306,1.38216,3.03524,1.60014,1.428,0.66368,0.5134,0.56988,0.37151,0.65185,0.50046,0.54142,0.29249,1.23584,2.4069,1.42274,1.27073,0.0097228,0.0097228,0.0097228
58,443.777,1.36476,2.98849,1.57201,1.41319,0.65347,0.45876,0.54125,0.35881,0.65349,0.46259,0.52997,0.28995,1.30429,2.4033,1.49654,1.31159,0.00971785,0.00971785,0.00971785
