epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4041.25,1.28252,2.81969,1.72131,1.38098,0.27924,0.19697,0.17714,0.09317,0.24463,0.18103,0.14071,0.06946,1.02721,2.03467,1.57974,1.08391,0.0098119,0.0098119,0.0098119
40,4146.25,1.31087,2.97098,1.77944,1.45006,0.45474,0.22808,0.22283,0.1265,0.36845,0.22234,0.19906,0.1015,0.95832,1.88647,1.37781,1.02303,0.00980695,0.00980695,0.00980695
41,4247.42,1.29902,2.97096,1.76889,1.42145,0.27395,0.24046,0.17172,0.09118,0.22882,0.22444,0.14971,0.07309,0.98888,1.87998,1.44214,1.02441,0.009802,0.009802,0.009802
42,4350.54,1.31251,3.02273,1.80444,1.46462,0.42682,0.20046,0.2154,0.11856,0.42553,0.19061,0.202,0.09927,0.9707,1.89676,1.51834,1.02856,0.00979705,0.00979705,0.00979705
43,4453.57,1.30419,2.93573,1.74673,1.43415,0.28478,0.19584,0.18772,0.10523,0.28062,0.1908,0.17805,0.09006,0.98464,1.92114,1.44559,1.04088,0.0097921,0.0097921,0.0097921
44,4556.65,1.32531,2.99154,1.79075,1.45377,0.32208,0.24998,0.20606,0.11419,0.27847,0.23524,0.18803,0.09703,0.95722,1.87801,1.39002,1.04196,0.00978715,0.00978715,0.00978715
45,4658.65,1.29116,2.86965,1.72298,1.4004,0.33663,0.2815,0.24003,0.13503,0.30945,0.26779,0.2114,0.11149,0.92356,1.77587,1.31406,0.99749,0.0097822,0.0097822,0.0097822
46,4762.1,1.35522,3.05326,1.84807,1.48343,0.30384,0.25683,0.22492,0.1262,0.28515,0.24451,0.21026,0.10739,0.92485,1.78441,1.38803,0.98428,0.00977725,0.00977725,0.00977725
47,4864.85,1.31388,2.96968,1.77205,1.43775,0.398,0.32252,0.26199,0.14704,0.3723,0.30579,0.24897,0.13277,0.93861,1.72333,1.2699,0.99542,0.0097723,0.0097723,0.0097723
48,4967.58,1.23768,2.87617,1.69119,1.38202,0.36191,0.29769,0.25083,0.14467,0.37336,0.27582,0.23365,0.1263,0.92649,1.76979,1.40861,0.98547,0.00976735,0.00976735,0.00976735
49,5071.02,1.27559,2.88853,1.75143,1.41757,0.33447,0.27683,0.2571,0.15058,0.33357,0.2737,0.24371,0.12826,0.91729,1.76508,1.26615,0.97914,0.0097624,0.0097624,0.0097624
50,5173.91,1.22428,2.80907,1.68163,1.37491,0.33483,0.18946,0.17328,0.09945,0.3108,0.17085,0.15174,0.08174,1.04305,1.97504,1.6029,1.08332,0.00975745,0.00975745,0.00975745
51,5274.8,1.25258,2.83433,1.67043,1.39535,0.34186,0.22781,0.22755,0.12706,0.32169,0.21365,0.20576,0.10133,0.92495,1.80992,1.79713,0.98383,0.0097525,0.0097525,0.0097525
52,5377.6,1.27302,2.86427,1.70874,1.42096,0.37776,0.24833,0.23883,0.13386,0.35444,0.23185,0.2195,0.11835,0.93163,1.78739,1.4154,0.98661,0.00974755,0.00974755,0.00974755
